Model,Month,Month_Name,Actual_TWSA_mm,Actual_Std_mm,Predicted_TWSA_mm,Predicted_Std_mm,Residual_mm,Residual_Std_mm,Sample_Count
LightGBM,10,Oct,-1.2235807439695159,10.174046598567116,0.002706627871044171,7.004078008765406,-1.22628737184056,5.562941264525281,682.0
LightGBM,11,Nov,-8.304689755411799,9.195795524958092,-7.3645680420316815,6.960279114549891,-0.9401217133801174,4.373163023422156,660.0
LightGBM,12,Dec,-12.881172219932182,8.702370762637676,-12.409626377821311,7.982943272072547,-0.4715458421108696,2.951943206615665,682.0
BiLSTM+Attention,1,Jan,-15.635841860469602,8.572568426879771,-14.25788197708211,7.237108356774781,-1.3779598821668444,5.768076652316504,682.0
BiLSTM+Attention,2,Feb,-18.14151928351521,8.644193400445452,-18.047784932299038,7.32276058699938,-0.09373434508913644,4.623617349323158,622.0
BiLSTM+Attention,3,Mar,-19.89533794218851,8.689874829062685,-18.608243942521995,6.673949572220563,-1.287094009017041,5.17869234205981,682.0
BiLSTM+Attention,4,Apr,-19.704531891921533,9.003632462462516,-16.284294125364568,7.0481907191789475,-3.420237768576067,4.627080529540215,683.0
BiLSTM+Attention,5,May,-16.871714668690252,9.79649480668837,-14.588223111991585,7.2837394065348375,-2.283491567121664,6.27734180666008,713.0
BiLSTM+Attention,6,Jun,-8.78410343254844,11.31615485182099,-9.159402009268115,7.785644499783052,0.375298582187809,8.366505646642137,690.0
BiLSTM+Attention,7,Jul,0.9712807148894651,11.91559766295667,0.8650556101963535,6.129814821519014,0.1062251028400848,9.243651497578192,713.0
BiLSTM+Attention,8,Aug,5.929308969569992,12.11685115478243,7.236961971465357,5.9815319359098345,-1.3076530004797717,9.700658827831758,713.0
BiLSTM+Attention,9,Sep,4.970348780438267,11.502220948108484,7.583591221740544,6.216719528124469,-2.6132424486876578,9.220173430248101,661.0
BiLSTM+Attention,10,Oct,-1.2235807439695159,10.174046598567116,1.1297583852170088,6.919860840142354,-2.3533391309842444,7.554399895791801,682.0
BiLSTM+Attention,11,Nov,-8.304689755411799,9.195795524958092,-7.163427816793939,6.617645976592097,-1.1412619473494285,5.306544650951134,660.0
BiLSTM+Attention,12,Dec,-12.881172219932182,8.702370762637676,-12.181581279472141,6.508522048886042,-0.699590939309167,4.358178334131103,682.0
RandomForest,1,Jan,-15.635841860469602,8.572568426879771,-15.19556071414364,7.785782084794449,-0.44028114632596144,1.827007663110901,682.0
RandomForest,2,Feb,-18.14151928351521,8.644193400445452,-17.305740548518052,7.254647633943858,-0.835778734997156,2.605292041229293,622.0
RandomForest,3,Mar,-19.89533794218851,8.689874829062685,-18.141467763316964,7.042183230799973,-1.7538701788715505,3.6137569628347443,682.0
RandomForest,4,Apr,-19.704531891921533,9.003632462462516,-17.721557365967133,7.279775215933608,-1.9829745259543972,3.5884502998341152,683.0
RandomForest,5,May,-16.871714668690252,9.79649480668837,-15.08070384057351,7.962171113000068,-1.791010828116744,3.90694113255397,713.0
RandomForest,6,Jun,-8.78410343254844,11.31615485182099,-8.282598106072392,9.748033349827063,-0.5015053264760477,4.182675484559609,690.0
RandomForest,7,Jul,0.9712807148894651,11.91559766295667,1.2588252531033548,8.826626661298208,-0.2875445382138898,4.3754996051388755,713.0
RandomForest,8,Aug,5.929308969569992,12.11685115478243,6.631633486281416,9.217519116079787,-0.7023245167114238,3.8408228137558322,713.0
RandomForest,9,Sep,4.970348780438267,11.502220948108484,6.336182798562664,9.01443419717698,-1.3658340181243969,3.6996264510506744,661.0
RandomForest,10,Oct,-1.2235807439695159,10.174046598567116,-0.29210025962221087,8.571299656236533,-0.931480484347305,3.2146314492033445,682.0
