date,observed,predicted,n_cells,month,residual
2020-10-01,-196.19651179472925,-178.62827382358336,367,10,17.56823797114589
2020-11-01,-254.2923037323705,-228.83921233369256,367,11,25.45309139867794
2020-12-01,-273.50286044087005,-269.8145853425796,367,12,3.6882750982904327
2021-01-01,-319.98108503669096,-299.2079472318392,367,1,20.77313780485173
2021-02-01,-369.2392975549932,-339.2220071023479,367,2,30.017290452645284
2021-03-01,-404.5981852352132,-385.9144482284586,367,3,18.683737006754598
2021-04-01,-406.1626005458572,-398.6298023426277,367,4,7.532798203229447
2021-05-01,-326.4225420808922,-341.97374033223355,367,5,-15.551198251341361
2021-06-01,-222.3093901226241,-190.726394511928,367,6,31.582995610696116
2021-07-01,-49.9584771527906,-77.96046031889037,367,7,-28.00198316609977
2021-08-01,-17.60875132298276,-39.36930374206404,367,8,-21.760552419081282
2021-09-01,-53.250509812981306,-73.719530404556,367,9,-20.46902059157469
2021-10-01,-124.39314514804602,-155.1473501246039,367,10,-30.754204976557872
2021-11-01,-187.51862544129915,-223.56970748926796,367,11,-36.051082047968805
2021-12-01,-186.2466106648666,-238.48841822349343,367,12,-52.24180755862682
2022-01-01,-211.68417203523808,-253.7080245279456,367,1,-42.02385249270753
2022-02-01,-258.169696160818,-267.52436640111995,367,2,-9.35467024030197
2022-03-01,-312.4293530539531,-335.6814275404368,367,3,-23.252074486483707
2022-04-01,-364.43342008252887,-370.657779089009,367,4,-6.224359006480142
2022-05-01,-391.11254420267466,-375.5898002803753,367,5,15.522743922299355
2022-06-01,-277.6136644243869,-259.25253311302396,367,6,18.361131311362954
2022-07-01,-116.55941576171637,-127.86486388336957,367,7,-11.3054481216532
2022-08-01,-87.62374896119661,-75.74259379847972,367,8,11.881155162716894
2022-09-01,-69.2001476183899,-105.36815185805828,367,9,-36.16800423966838
2022-10-01,-175.24133657304728,-175.2249790290623,367,10,0.016357543984980794
2022-11-01,-219.64126296394204,-240.82628899641117,367,11,-21.185026032469125
2022-12-01,-241.48026980106448,-274.67188488283676,367,12,-33.191615081772284
2023-01-01,-267.06770907825603,-309.14535410044124,367,1,-42.07764502218521
2023-02-01,-331.23466807685037,-346.56875021829933,367,2,-15.33408214144896
2023-03-01,-351.649380551372,-375.9689143361963,367,3,-24.319533784824273
2023-04-01,-399.9629808264792,-396.75606348776233,367,4,3.2069173387168917
2023-05-01,-416.8925125163647,-402.470458266798,367,5,14.422054249566713
2023-06-01,-215.24456987718796,-267.6626530857888,367,6,-52.41808320860085
2023-07-01,-88.53325639823477,-121.98007932350778,367,7,-33.44682292527301
2023-08-01,-84.10778902142187,-98.5805215033416,367,8,-14.472732481919735
2023-09-01,-121.7145142308373,-138.73836081907154,367,9,-17.02384658823425
2023-10-01,-204.44008322047927,-232.81400571705606,367,10,-28.373922496576796
2023-11-01,-244.5987623627894,-297.35575916274684,367,11,-52.75699679995745
2023-12-01,-300.19574601383886,-313.533004068431,367,12,-13.337258054592155
2024-01-01,-321.8639744438982,-349.8894391136323,367,1,-28.025464669734106
2024-02-01,-357.17593876477486,-378.4653954406632,367,2,-21.289456675888346
2024-03-01,-414.56263453434207,-410.5936934445569,367,3,3.968941089785176
2024-04-01,-453.96061986148845,-441.19731912698285,367,4,12.763300734505606
2024-05-01,-464.123179339583,-434.92808777016774,367,5,29.19509156941524
2024-06-01,-278.2488339239635,-301.4697758360597,367,6,-23.22094191209618
2024-07-01,-87.11846915772567,-125.83909890012501,367,7,-38.72062974239934
2024-08-01,-13.729026799630729,-63.42833679957322,367,8,-49.69930999994249
2024-09-01,-52.24103279009827,-86.69232049778202,367,9,-34.451287707683754
