well_id,lat,lon,n_months,RMSE,MAE,MBE,R2,NSE
23.9008_78.0550,23.9008,78.055,63,159.45294618707476,128.45147290621634,73.4549765886167,0.16818796273959746,-2.0654710490477344
23.9017_80.8106,23.9017,80.8106,64,127.88569900505568,102.05842947944738,53.3021752920118,0.4449830842600298,0.24741420432025607
23.9028_80.2514,23.9028,80.2514,64,160.31235516694227,123.62851402085809,90.01412321338691,0.19909211289027468,-1.3790263051818288
23.9061_78.5925,23.9061,78.5925,62,176.71197729935983,135.66147333728426,105.25482585282093,0.07673994926080253,-8.389669625355392
23.9094_80.1419,23.9094,80.1419,65,139.80310253773473,114.47861289843192,56.1201285965241,0.34302858435507017,-0.022961802599994696
23.9133_76.9167,23.9133,76.9167,63,132.9717412692736,101.47675084655769,53.85952375150566,0.19476066047512644,-2.0168306951847184
23.9250_75.0989,23.925,75.0989,65,160.11457011657865,131.14028247288036,-36.48065943464816,0.35578090128006734,-1.4874129345770069
23.9283_81.3667,23.9283,81.3667,61,147.83561463834715,112.84083609221409,79.85580906914883,0.17410185932239652,-2.142075291720853
23.9292_79.4694,23.9292,79.4694,63,149.05382194520445,113.58680805184518,86.73454822486318,0.2582933537528926,-5.794452822543679
23.9361_80.8144,23.9361,80.8144,64,160.16815352524966,124.22848267392985,94.31910263727005,0.1658228471232295,-1.7920544184989393
23.9486_81.4583,23.9486,81.4583,57,184.51536484653403,151.97525024525234,106.57150490081412,0.08328865007726016,-1.2888377188273412
23.9539_83.0792,23.9539,83.0792,62,115.39105917322192,87.4439301439639,-19.515479317929163,0.4437091231484058,-4.719443013001971
23.9550_79.4044,23.955,79.4044,63,171.53024856921232,134.3786903657726,110.79614728528026,0.13798466767436826,-28.45210882659022
23.9733_78.4819,23.9733,78.4819,65,181.8120068404401,138.1421923394307,99.93341392482564,0.023271128892036842,-9.798030865373224
23.9792_80.3147,23.9792,80.3147,60,132.5188262147558,105.41801738661951,55.17651940496358,0.21018844399594475,-1.093376229984464
24.0078_82.9033,24.0078,82.9033,61,126.17741293505414,99.19441207846774,-29.192282137639612,0.29046655927112847,-6.61623234919949
24.0144_75.0833,24.0144,75.0833,63,152.09379048029663,126.11498476729788,-32.79492758166745,0.4360972904405377,-2.9455309259843756
24.0183_79.0494,24.0183,79.0494,63,182.57254073325373,136.22186027645134,109.38703222032761,0.04790291678974108,-11.781077932231673
24.0222_83.0264,24.0222,83.0264,62,110.86950043520409,90.82714051002458,-23.264674441551634,0.49729904286194365,-1.9378548115347791
24.0253_75.4450,24.0253,75.445,64,161.82281484670784,131.43716656681318,13.288331410601852,0.2878524453938365,-5.183824086593934
24.0317_75.1981,24.0317,75.1981,65,148.21957803841212,123.61309492427365,-13.191799522478036,0.4157178752589376,0.03286044001289268
24.0417_78.6397,24.0417,78.6397,63,162.9481609352176,125.22566363309485,95.02425600418599,0.235902494262483,-8.338313685932453
24.0425_76.5792,24.0425,76.5792,64,121.64158622710075,94.6741023854878,25.34716914046537,0.4931023961978371,-6.301246584491164
24.0450_81.9222,24.045,81.9222,64,144.92755894398502,112.52162595627375,-56.89223116127771,0.23011658458694245,-0.33627606520174624
